ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL
2025;02;RS;PINHEIRO MACHADO                   ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;PINHEIRO MACHADO                   ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;02;RS;PORTO ALEGRE                       ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;28                                                ;Apostilada no Exercito                                                    ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;BERSA                                                                 ;.380                                              ;Recupera��o de Arma de Fogo                                               ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;FUNDALUM TANDIL                                                       ;.22 LR                                            ;Apostilada no Exercito                                                    ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;Recupera��o de Arma de Fogo                                               ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;SIG SAUER (SIG SAUER GMBH)                                            ;9x19mm                                            ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apreens�o de Arma de Fogo                                                 ;S;2
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recupera��o de Arma de Fogo                                               ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Campanha do Desarmamento                                                  ;S;1
2025;02;RS;PORTO ALEGRE                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.32                                               ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apostilada no Exercito                                                    ;S;1
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Campanha do Desarmamento                                                  ;S;2
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Furto de Arma de Fogo                                                     ;S;1
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.32                                               ;Campanha do Desarmamento                                                  ;S;2
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.32                                               ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Furto de Arma de Fogo                                                     ;S;1
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apostilada no Exercito                                                    ;S;1
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;S;2
2025;02;RS;PORTO ALEGRE                       ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Campanha do Desarmamento                                                  ;S;1
2025;02;RS;PORTO ALEGRE                       ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apreens�o de Arma de Fogo                                                 ;S;2
2025;02;RS;PROGRESSO                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;REDENTORA                          ;Carabina                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.357 Mag                                          ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;REDENTORA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.22 LR                                            ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;RIO DOS �NDIOS                     ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;02;RS;RIO GRANDE                         ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;Arrecada��o                                                               ;S;1
2025;02;RS;RIO GRANDE                         ;Espingarda                                        ;WINCHESTER                                                            ;.22 LR                                            ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;RS;RIO GRANDE                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Arrecada��o                                                               ;S;2
2025;02;RS;RIO GRANDE                         ;Revolver                                          ;COLT                                                                  ;.32                                               ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;RS;RIO GRANDE                         ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.32                                               ;Campanha do Desarmamento                                                  ;S;1
2025;02;RS;RIO GRANDE                         ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Furto de Arma de Fogo                                                     ;S;1
2025;02;RS;ROLANTE                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;SANTA CRUZ DO SUL                  ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;Apostilada no Exercito                                                    ;S;1
2025;02;RS;SANTA CRUZ DO SUL                  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;02;RS;SANTA MARIA                        ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;RS;SANTA MARIA                        ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;02;RS;SANTA MARIA                        ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;02;RS;SANTA MARIA                        ;Rifle                                             ;ROSSI (AMADEO ROSSI S.A.)                                             ;.22 LR                                            ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;RS;SANTA ROSA                         ;Carabina                                          ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;SANTA ROSA                         ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;28                                                ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;SANTA ROSA                         ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;SANTA ROSA                         ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;SANTA VIT�RIA DO PALMAR            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.45                                               ;Furto de Arma de Fogo                                                     ;N;1
2025;02;RS;SANTA VIT�RIA DO PALMAR            ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.32                                               ;Campanha do Desarmamento                                                  ;N;2
2025;02;RS;SANTA VIT�RIA DO PALMAR            ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Furto de Arma de Fogo                                                     ;N;1
2025;02;RS;SANTANA DO LIVRAMENTO              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;SANTANA DO LIVRAMENTO              ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Campanha do Desarmamento                                                  ;N;1
2025;02;RS;SANTANA DO LIVRAMENTO              ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;SANTANA DO LIVRAMENTO              ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;02;RS;SANTO CRISTO                       ;Espingarda                                        ;REX                                                                   ;.32                                               ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;SANTO �NGELO                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;SANTO �NGELO                       ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Furto de Arma de Fogo                                                     ;N;1
2025;02;RS;SANTO �NGELO                       ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Furto de Arma de Fogo                                                     ;N;1
2025;02;RS;SAPIRANGA                          ;Espingarda                                        ;BREDA                                                                 ;12                                                ;Furto de Arma de Fogo                                                     ;N;1
2025;02;RS;SAPIRANGA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;N;1
2025;02;RS;SAPIRANGA                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;SAPUCAIA DO SUL                    ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;RS;SAPUCAIA DO SUL                    ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Extravio/Perda de Arma de Fogo                                            ;S;1
2025;02;RS;SERAFINA CORR�A                    ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;SINIMBU                            ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;20                                                ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;SOBRADINHO                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Extravio/Perda de Arma de Fogo                                            ;N;2
2025;02;RS;SOBRADINHO                         ;Revolver                                          ;CASTELO (IND. DE ARMAS CASTELO)                                       ;.32                                               ;Furto de Arma de Fogo                                                     ;N;1
2025;02;RS;SOLEDADE                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;22LR/22MAG                                        ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;S�O BORJA                          ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;S�O BORJA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;S�O BORJA                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Recupera��o de Arma de Fogo                                               ;N;1
2025;02;RS;S�O FRANCISCO DE PAULA             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.45 ACP                                           ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;S�O GABRIEL                        ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;S�O JOS� DO NORTE                  ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;S�O JOS� DO NORTE                  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;S�O LEOPOLDO                       ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;36                                                ;Furto de Arma de Fogo                                                     ;S;1
2025;02;RS;S�O LEOPOLDO                       ;Pistola                                           ;IMBEL                                                                 ;.380                                              ;Recupera��o de Arma de Fogo                                               ;S;1
2025;02;RS;S�O LEOPOLDO                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;S;3
2025;02;RS;S�O LUIZ GONZAGA                   ;Carabina                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Furto de Arma de Fogo                                                     ;N;1
2025;02;RS;S�O LUIZ GONZAGA                   ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;S�O MARCOS                         ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;S�O MARCOS                         ;Rifle                                             ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;TAPERA                             ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;.32                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;TAQUARI                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recupera��o de Arma de Fogo                                               ;N;1
2025;02;RS;TENENTE PORTELA                    ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;36                                                ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;TENENTE PORTELA                    ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;TORRES                             ;Revolver                                          ;SMITH & WESSON                                                        ;.32                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;TRAMANDA�                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreens�o de Arma de Fogo                                                 ;N;2
2025;02;RS;TRAMANDA�                          ;Revolver                                          ;TANQUE                                                                ;.32                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;TR�S DE MAIO                       ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.32                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;TR�S PASSOS                        ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Furto de Arma de Fogo                                                     ;N;1
2025;02;RS;UBIRETAMA                          ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;UBIRETAMA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apostilada no Exercito                                                    ;N;1
2025;02;RS;URUGUAIANA                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Arrecada��o                                                               ;S;1
2025;02;RS;URUGUAIANA                         ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;RS;VACARIA                            ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;VACARIA                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.32                                               ;Campanha do Desarmamento                                                  ;N;1
2025;02;RS;VALE DO SOL                        ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;.25 ACP                                           ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;VALE DO SOL                        ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;.32                                               ;Furto de Arma de Fogo                                                     ;N;1
2025;02;RS;VALE VERDE                         ;Rifle                                             ;GECO (GUSTAV GENSCHOW)                                                ;.22 LR                                            ;Campanha do Desarmamento                                                  ;N;1
2025;02;RS;VIAM�O                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;RS;VIAM�O                             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Recupera��o de Arma de Fogo                                               ;S;1
2025;02;RS;VIAM�O                             ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Recupera��o de Arma de Fogo                                               ;S;1
2025;02;RS;VIT�RIA DAS MISS�ES                ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;XANGRI-L�                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;RS;�GUA SANTA                         ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Furto de Arma de Fogo                                                     ;N;1
2025;02;SC;BLUMENAU                           ;Carabina                                          ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apreens�o de Arma de Fogo                                                 ;S;1
2025;02;SC;CAMPOS NOVOS                       ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;SC;CAMPOS NOVOS                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;SC;CELSO RAMOS                        ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Remetida ao Ex�rcito para destrui��o                                      ;N;1
2025;02;SC;CHAPEC�                            ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;36                                                ;Remetida ao Ex�rcito para destrui��o                                      ;S;1
2025;02;SC;CHAPEC�                            ;Pistola                                           ;IMBEL                                                                 ;.380                                              ;Remetida ao Ex�rcito para destrui��o                                      ;S;1
2025;02;SC;CHAPEC�                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;7,65mm                                            ;Remetida ao Ex�rcito para destrui��o                                      ;S;1
2025;02;SC;CHAPEC�                            ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Remetida ao Ex�rcito para destrui��o                                      ;S;1
2025;02;SC;CHAPEC�                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.22 MAGNUM                                        ;Recupera��o de Arma de Fogo                                               ;S;1
2025;02;SC;CHAPEC�                            ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Remetida ao Ex�rcito para destrui��o                                      ;S;1
2025;02;SC;CONC�RDIA                          ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;.32                                               ;Remetida ao Ex�rcito para destrui��o                                      ;N;1
2025;02;SC;CONC�RDIA                          ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreens�o de Arma de Fogo                                                 ;N;1
2025;02;SC;CRICI�MA                           ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;Apostilada no Exercito                                                    ;S;1
2025;02;SC;CURITIBANOS                        ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;02;SC;DESCANSO                           ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apostilada no Exercito                                                    ;N;1
2025;02;SC;FLORIAN�POLIS                      ;Carabina/Fuzil                                    ;TAURUS ARMAS S.A.                                                     ;5,56x45mm                                         ;Apostilada no Exercito                                                    ;S;1
2025;02;SC;FLORIAN�POLIS                      ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;36                                                ;Furto de Arma de Fogo                                                     ;S;1
2025;02;SC;FLORIAN�POLIS                      ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Campanha do Desarmamento                                                  ;S;1
2025;02;SC;FORMOSA DO SUL                     ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recupera��o de Arma de Fogo                                               ;N;1
2025;02;SC;FORQUILHINHA                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Roubo de Arma de Fogo                                                     ;N;1
2025;02;SC;IPUMIRIM                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;N;1
2025;02;SC;ITAJA�                             ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Apostilada no Exercito                                                    ;S;1
2025;02;SC;ITAPEMA                            ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Furto de Arma de Fogo                                                     ;N;1
2025;02;SC;I�ARA                              ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;20                                                ;Apostilada no Exercito                                                    ;N;1
2025;02;SC;JAGUARUNA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;N;1
2025;02;SC;JARAGU� DO SUL                     ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Remetida ao Ex�rcito para destrui��o                                      ;S;1
2025;02;SC;JARDIN�POLIS                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Remetida ao Ex�rcito para destrui��o                                      ;N;1
2025;02;SC;JOA�ABA                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apostilada no Exercito                                                    ;N;1
2025;02;SC;LAGES                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recupera��o de Arma de Fogo                                               ;S;1
2025;02;SC;LAGUNA                             ;Pistola                                           ;BERSA                                                                 ;.22 LR                                            ;Apostilada no Exercito                                                    ;N;1
2025;02;SC;MARAVILHA                          ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Apostilada no Exercito                                                    ;N;1
2025;02;SC;NOVA VENEZA                        ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;Apostilada no Exercito                                                    ;N;1
2025;02;SC;OTAC�LIO COSTA                     ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.22 LR                                            ;Apostilada no Exercito                                                    ;N;1
2025;02;SC;PAULO LOPES                        ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;Campanha do Desarmamento                                                  ;N;1
2025;02;SC;RIO DO SUL                         ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;28                                                ;Apostilada no Exercito                                                    ;N;1
2025;02;SC;S�O JOAQUIM                        ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;20                                                ;Furto de Arma de Fogo                                                     ;N;1
2025;02;SC;S�O LOUREN�O DO OESTE              ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.32                                               ;Remetida ao Ex�rcito para destrui��o                                      ;N;1
2025;02;SC;TAI�                               ;Carabina                                          ;FIRE EAGLE                                                            ;9x19mm                                            ;Recupera��o de Arma de Fogo                                               ;N;1
2025;02;SC;TAI�                               ;Fuzil                                             ;TAURUS ARMAS S.A.                                                     ;5,56x45mm                                         ;Recupera��o de Arma de Fogo                                               ;N;1
2025;02;SC;VARGEM                             ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Extravio/Perda de Arma de Fogo                                            ;N;1
2025;02;SC;VIDEIRA                            ;Revolver                                          ;ROSSI (AMADEO ROSSI S.A.)                                             ;.38                                               ;Recupera��o de Arma de Fogo                                               ;N;2
2025;02;SE;ARACAJU                            ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;Campanha do Desarmamento                                                  ;S;1
